Date,Publication,Headline,Author 1,Authour 2,Political Leaning,News/Opinion,URL
03/26/23,New York Post,Democrats putting transit in total chaos days before NY state budget due,Nicole Gelinas,,Right,Opinion,https://nypost.com/2023/03/26/democrats-putting-transit-in-total-chaos-days-before-ny-state-budget-due/
08/10/23,New York Post,Details of MTA’s congestion pricing plan for Manhattan drivers unveiled,Nolan Hicks,,Right,News,https://nypost.com/2022/08/10/details-of-mtas-congestion-pricing-plan-for-manhattan-unveiled/
03/19/2023,New York Post,NJ Gov. Murphy warns NYC congestion pricing gives commuters ‘excuse to not be in Manhattan’,Steve Janoski,,Right,News,https://nypost.com/2023/03/19/nj-gov-murphy-rips-nycs-congestion-pricing-plan/
03/15/2023,New York Post,"Nicole Malliotakis, Josh Gottheimer head bipartisan NY and NJ anti-congestion toll caucus",Carl Campanile ,Nolan Hicks,Right,News,https://nypost.com/2023/03/15/malliotakis-gottheimer-head-ny-nj-anti-congestion-tax-caucus/
01/19/2023,New York Post,"NJ Dem Josh Gottheimer, NY Republican Mike Lawler team up to fight MTA congestion toll in Congress",David Meyer,,Right,News,https://nypost.com/2023/01/19/josh-gottheimer-mike-lawler-team-up-to-fight-mta-congestion/
01/03/23,New York Post,"Uber, Lyft deserve congestion toll as the ‘real’ cause of NYC traffic, ex-DOT boss says",David Meyer,,Right,News,https://nypost.com/2023/01/03/uber-lyft-the-real-cause-of-nyc-traffic-ex-dot-boss-says/
11/08/22,New York Post,"Hey, Donovan Richards: It’s actually way more racist to FAVOR congestion pricing",Post Editorial Board,,Right,Opinion,https://nypost.com/2022/11/08/hey-donovan-richards-its-actually-way-more-racist-to-favor-congestion-pricing/
10/08/22,New York Post,Congestion pricing killing NYC’s iconic yellow cabs: ‘This is the final nail in the coffin’,Kirsten Fleming,,Right,News,https://nypost.com/2022/10/12/congestion-pricing-will-kill-nycs-iconic-yellow-cabs/
09/21/2022,New York Post,Eric Adams says NYC being railroaded into congestion pricing backed by Kathy Hochul,Bernadette Hogan,,Right,News,https://nypost.com/2022/09/21/eric-adams-nyc-being-railroaded-into-congestion-pricing-backed-by-kathy-hochul/
09/12/22,New York Post,Zeldin hits congestion toll as cash grab as he cites MTA ‘waste’,Nolan Hicks ,David Meyer,Right,News,https://nypost.com/2022/09/12/zeldin-hits-congestion-toll-as-cash-grab-as-he-cites-mta-waste/
09/04/22,New York Post,NY Republicans campaigning against Midtown congestion toll plan,Carl Campanile,David Meyer,Right,News,https://nypost.com/2022/09/04/ny-republicans-campaigning-against-midtown-congestion-toll-plan/
09/28/2022,Gothamist ,NY bill threatens new $50 fee to NJ drivers as congestion pricing feud heats up,Stephen Nessen,,Centre-Left,News,https://gothamist.com/news/ny-nj-politicians-feud-over-tickets-for-drivers
09/19/2022,Gothamist ,Environmental study of congestion-pricing plans has Bronx residents asking: What's in it for us?,Arya Sundaram,,Centre-Left,News,https://gothamist.com/news/environmental-study-of-congestion-pricing-plans-has-bronx-residents-asking-whats-in-it-for-us
