Date,Publication,Headline,Author 1,Authour 2,Political Leaning,News/Opinion,URL
03/28/2023,New York Times,M.T.A. Plans to Use Congestion Pricing Funds to Address Bronx Pollution,Ana Ley,,Left,News,https://www.nytimes.com/2023/03/28/nyregion/mta-congestion-pricing-pollution-bronx.html
12/19/2022,New York Times,Can a $10 Billion Highway Fix One of New Jersey’s Worst Traffic Jams?,Tracey Tully , Patrick McGeehan,Left,News,https://www.nytimes.com/2022/12/19/nyregion/holland-tunnel-turnpike-extension.html
10/11/23,New York Times,Yellow Cabs Are Struggling. Congestion Pricing Could Deal a New Blow., Ana Ley,,Left,News,https://www.nytimes.com/2022/10/11/nyregion/nyc-traffic-yellow-cab-tolls.html
10/06/22,New York Times,New Jersey Governor Seeks to Slow New York’s Congestion Pricing Effort,"Tracey Tully,",Ana Ley,Left,News,https://www.nytimes.com/2022/10/06/nyregion/nj-biden-congestion-price-toll.html
09/12/22,New York Times,A Plan to Push Cars Out of Manhattan Could Make the Bronx’s Air Dirtier,Ana Ley,,Left,News,https://www.nytimes.com/2022/09/12/nyregion/nyc-congestion-pricing-manhattan-bronx.html
08/26/2022,New York Times,"At M.T.A.’s First Congestion Pricing Hearing, Critics Abound",Ana Ley,,Left,News,https://www.nytimes.com/2022/08/26/nyregion/congestion-pricing-nyc-mta.html
08/25/2022,New York Times,The Pros and Cons of Congestion Pricing in Manhattan,James Barron,,Left,News,https://www.nytimes.com/2022/08/25/nyregion/congestion-pricing-manhattan.html
08/18/2022,New York Times,Why Drivers Could Soon Pay $23 to Reach Manhattan,Ana Ley,,Left,News,https://www.nytimes.com/2022/08/18/nyregion/nyc-congestion-pricing-manhattan.html
08/17/2022,New York Times,The M.T.A.’s Money Woes,James Barron,,Left,News,https://www.nytimes.com/2022/08/17/nyregion/the-mtas-money-woes.html
06/12/22,New York Times,There Has to Be a Better Way to Run the Government,Ezra Klein,,Left,Opinion,https://www.nytimes.com/2022/06/12/opinion/traffic-congestion-new-york-climate-policy.html
